zipcode
"48126     "
"43318     "
"19146     "
"49503     "
"11432     "
"35210     "
"55404     "
"06103     "
"60005     "
"29601     "
"45202     "
"48126     "
"40475     "
"76903     "
"80501     "
"77002     "
"28301     "
"48328     "
"43615     "
"91331     "
"77062     "
"30071     "
"54911     "
"45406     "
"75006     "
"94536     "
"45701     "
"32810     "
"06854     "
"49505     "
"55732     "
"49503     "
"28704     "
"01730     "
"53204     "
"98011     "
"27006     "
"63456     "
"43215     "
"44115     "
"76111     "
"93721     "
"91505     "
"60605     "
"15219     "
"76201     "
"87108     "
"74106     "
"11101     "
"08502     "
"49423     "
"90017     "
"78852     "
"52240     "
"08069     "
"37033     "
"84047     "
"17101     "
"02115     "
"61261     "
"84119     "
"45402     "
"60004     "
"19103     "
"75941     "
"93401     "
"70114     "
"48185     "
"36608     "
"20705     "
"93401     "
"82939     "
"90017     "
"46214     "
"30329     "
"96789     "
"70583     "
"11420     "
"23219     "
"75051     "
"61523     "
"05403     "
"28052     "
"73533     "
"16720     "
"11530     "
"78040     "
"27260     "
"20705     "
"76691     "
"07102     "
"97116     "
"38118     "
"36602     "
"98101     "
"78476     "
"11368     "
"80202     "
"23510     "
"44114     "
"93711     "
"71601     "
"22021     "
"28206     "
"34741     "
"98101     "
"35203     "
"16030     "
"13224     "
"61602     "
"84058     "
"78550     "
"01109     "
"90017     "
"29201     "
"60650     "
"73102     "
"60631     "
"60154     "
"20741     "
"49503     "
"37620     "
"14220     "
"33012     "
"60605     "
"23421     "
"94533     "
"47992     "
"59327     "
"47597     "
"23219     "
"88345     "
"48075     "
"44128     "
"01453     "
"45679     "
"33901     "
"53212     "
"86327     "
"35007     "
"71019     "
"14202     "
"70506     "
"64658     "
"43081     "
"94107     "
"90017     "
"84058     "
"77040     "
"07734     "
"69140     "
"60661     "
"19104     "
"46225     "
"44902     "
"60540     "
"80112     "
"02110     "
"24202     "
"38106     "
"45638     "
"29928     "
"44114     "
"54235     "
"36104     "
"57259     "
"78401     "
"12204     "
"73060     "
"76010     "
"54913     "
"02110     "
"48864     "
"77002     "
"60455     "
"27401     "
"10004     "
"79742     "
"45011     "
"60605     "
"76147     "
"89101     "
"32805     "
"08109     "
"37403     "
"98109     "
"74429     "
"40207     "
"98304     "
"78213     "
"37921     "
"44128     "
"89501     "
"24541     "
"77002     "
"19107     "
"30339     "
"46939     "
"70506     "
"48607     "
"58401     "
"80202     "
"19067     "
"63101     "
"49503     "
"60605     "
"11801     "
"48548     "
"98122     "
"62208     "
"13901     "
"10011     "
"62415     "
"02141     "
"67202     "
"10011     "
"64110     "
"55404     "
"10007     "
"43085     "
"84120     "
"95351     "
"33169     "
"60605     "
"89502     "
"89109     "
"80817     "
"29492     "
"30303     "
"06353     "
"68114     "
"42701     "
"29201     "
"92705     "
"51336     "
"19108     "
"19126     "
"80111     "
"71201     "
"16801     "
"07662     "
"24641     "
"91502     "
"46953     "
"92121     "
"07481     "
"15203     "
"38338     "
"60120     "
"58030     "
"77002     "
"29810     "
"20783     "
"19403     "
"75755     "
"47404     "
"91344     "
"99202     "
"98007     "
"41056     "
"46032     "
"27107     "
"46514     "
"95814     "
"01609     "
"13202     "
"11725     "
"97058     "
"03101     "
"11717     "
"78401     "
"60089     "
"68833     "
"22201     "
"93704     "
"89101     "
"57201     "
"92103     "
"62664     "
"94612     "
"70549     "
"55904     "
"55401     "
"03801     "
"19103     "
"75081     "
"82401     "
"14739     "
"95823     "
"93933     "
"45807     "
"15219     "
"37211     "
"14202     "
"67218     "
"97477     "
"91601     "
"48075     "
"04101     "
"32810     "
